                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.45726,                0.32575,                0.86057,                0.91233,                0.87474,                0.91124,                0.78874,                0.66163,                0.57094,                 1.0646,             0.00041828,             0.00041828,             0.00041828
                    116,                0.45288,                 0.3179,                  0.858,                0.88587,                0.88961,                0.92282,                 0.7924,                0.66551,                0.56718,                 1.0594,             0.00041607,             0.00041607,             0.00041607
                    117,                0.44535,                0.31923,                0.85559,                0.88968,                0.86267,                0.92058,                0.79601,                0.65124,                0.56892,                 1.0637,             0.00041387,             0.00041387,             0.00041387
                    118,                0.43273,                0.31134,                0.85147,                0.90425,                 0.8667,                0.92097,                0.79849,                 0.6573,                0.58213,                 1.0628,             0.00041167,             0.00041167,             0.00041167
                    119,                 0.4492,                0.32284,                0.85504,                0.89834,                0.88024,                0.91602,                0.78803,                 0.6434,                0.59737,                 1.0495,             0.00040947,             0.00040947,             0.00040947
                    120,                0.44445,                0.32021,                0.85647,                0.93193,                0.85152,                0.91601,                0.78049,                0.64688,                0.58932,                 1.0655,             0.00040727,             0.00040727,             0.00040727
                    121,                0.45039,                0.32053,                0.85753,                0.89797,                0.85566,                0.90523,                0.77248,                0.65054,                0.62026,                 1.0356,             0.00040507,             0.00040507,             0.00040507
                    122,                0.43562,                0.31479,                0.85492,                0.87931,                0.84767,                0.89329,                0.76858,                0.65248,                0.65373,                 1.0499,             0.00040287,             0.00040287,             0.00040287
                    123,                0.44213,                0.31937,                0.85145,                0.88989,                0.84055,                0.90228,                0.77708,                0.67464,                0.62791,                 1.0685,             0.00040067,             0.00040067,             0.00040067
                    124,                0.43897,                0.31307,                0.85141,                0.90164,                0.85308,                0.89864,                0.77967,                0.66365,                0.62355,                 1.0542,             0.00039847,             0.00039847,             0.00039847
                    125,                0.42163,                0.31011,                 0.8466,                0.90969,                 0.8538,                0.90856,                0.79537,                0.64926,                0.60688,                 1.0493,             0.00039626,             0.00039626,             0.00039626
                    126,                0.43482,                0.31195,                0.85112,                0.89798,                0.83895,                0.89807,                0.78312,                0.65553,                0.64279,                 1.0583,             0.00039406,             0.00039406,             0.00039406
                    127,                 0.4312,                0.31231,                 0.8548,                0.90033,                 0.8479,                 0.9048,                0.80449,                0.62847,                0.59353,                 1.0235,             0.00039186,             0.00039186,             0.00039186
                    128,                 0.4342,                0.30699,                0.84872,                0.92099,                0.86976,                0.91753,                0.80939,                0.61732,                0.58967,                 1.0057,             0.00038966,             0.00038966,             0.00038966
                    129,                0.43929,                0.31734,                0.85505,                0.91265,                0.86437,                0.91912,                0.80955,                0.63094,                0.58137,                 1.0119,             0.00038746,             0.00038746,             0.00038746
                    130,                0.44033,                 0.3136,                0.85187,                0.89743,                0.86857,                0.91791,                0.80961,                0.63971,                0.54605,                 1.0363,             0.00038526,             0.00038526,             0.00038526
                    131,                0.43153,                0.31175,                0.84943,                0.89444,                0.87932,                0.91753,                0.80394,                0.62677,                0.56701,                 1.0211,             0.00038306,             0.00038306,             0.00038306
                    132,                0.42053,                0.30257,                0.84968,                0.92173,                0.87972,                0.92194,                0.80243,                0.62387,                0.53944,                 1.0288,             0.00038086,             0.00038086,             0.00038086
                    133,                0.42741,                0.30232,                0.84784,                0.88986,                0.86503,                0.91205,                0.78603,                0.64772,                0.56484,                 1.0553,             0.00037866,             0.00037866,             0.00037866
                    134,                0.41394,                0.30075,                0.84801,                0.86822,                0.83363,                0.90198,                 0.7845,                0.63094,                 0.6173,                 1.0377,             0.00037645,             0.00037645,             0.00037645
                    135,                  0.431,                0.30696,                0.85132,                0.85483,                0.86751,                0.90986,                0.78727,                0.64028,                0.58834,                 1.0467,             0.00037425,             0.00037425,             0.00037425
                    136,                0.42097,                0.30028,                0.84208,                0.89859,                0.85177,                0.90592,                 0.7965,                 0.6509,                0.60032,                 1.0529,             0.00037205,             0.00037205,             0.00037205
                    137,                0.41856,                0.29987,                0.84817,                0.90947,                0.85898,                0.91475,                0.79583,                0.63095,                0.57647,                 1.0438,             0.00036985,             0.00036985,             0.00036985
                    138,                0.42601,                0.31201,                0.84665,                0.89672,                0.85025,                0.90731,                0.79954,                0.64768,                0.57107,                 1.0603,             0.00036765,             0.00036765,             0.00036765
                    139,                0.43339,                0.30948,                0.84782,                0.90344,                0.83335,                0.90809,                0.78872,                0.64545,                0.60611,                 1.0597,             0.00036545,             0.00036545,             0.00036545
                    140,                0.41988,                0.30007,                 0.8487,                0.88022,                 0.8635,                0.90641,                0.79066,                0.65181,                0.61025,                 1.0559,             0.00036325,             0.00036325,             0.00036325
                    141,                0.41568,                0.29798,                 0.8442,                0.89694,                0.86507,                0.90477,                0.78859,                0.65023,                 0.6039,                 1.0553,             0.00036105,             0.00036105,             0.00036105
                    142,                0.41111,                0.29257,                0.84508,                0.88688,                0.86144,                0.92084,                0.79831,                0.63457,                 0.5677,                 1.0412,             0.00035885,             0.00035885,             0.00035885
                    143,                0.41258,                0.29431,                0.85247,                0.91021,                0.86837,                0.92509,                0.80255,                0.62708,                0.54984,                  1.034,             0.00035664,             0.00035664,             0.00035664
                    144,                 0.4117,                0.29432,                0.84535,                0.90545,                 0.8688,                0.91406,                0.79373,                0.63448,                 0.5729,                 1.0585,             0.00035444,             0.00035444,             0.00035444
                    145,                0.42766,                0.30158,                0.85296,                0.90769,                0.85711,                0.89776,                0.78057,                0.63227,                0.60275,                 1.0539,             0.00035224,             0.00035224,             0.00035224
                    146,                0.41768,                0.29427,                0.84504,                0.90067,                 0.8537,                 0.9006,                0.77504,                0.63949,                0.63427,                 1.0522,             0.00035004,             0.00035004,             0.00035004
                    147,                0.41746,                0.29359,                0.84566,                0.90591,                0.87119,                0.91813,                0.79668,                0.63176,                0.59837,                 1.0475,             0.00034784,             0.00034784,             0.00034784
                    148,                0.41889,                0.29519,                0.84366,                0.92637,                0.86214,                0.92037,                0.79713,                0.64647,                0.55733,                 1.0383,             0.00034564,             0.00034564,             0.00034564
                    149,                0.41824,                0.29767,                0.84225,                0.93454,                0.85628,                0.91288,                0.79856,                0.65137,                0.53075,                 1.0449,             0.00034344,             0.00034344,             0.00034344
                    150,                0.41483,                0.29233,                0.84287,                0.91002,                0.87777,                0.92268,                0.79529,                0.65074,                0.55124,                 1.0471,             0.00034124,             0.00034124,             0.00034124
                    151,                0.40505,                0.28574,                0.84259,                0.89615,                0.86953,                0.91474,                0.79649,                0.63307,                0.57752,                 1.0449,             0.00033904,             0.00033904,             0.00033904
                    152,                0.39955,                0.28538,                0.84109,                0.88756,                0.86293,                 0.9081,                0.78055,                0.63453,                0.57808,                 1.0504,             0.00033683,             0.00033683,             0.00033683
                    153,                0.40416,                0.28937,                0.84109,                0.92191,                0.87493,                0.91216,                0.79233,                0.62561,                0.52636,                 1.0396,             0.00033463,             0.00033463,             0.00033463
                    154,                0.40483,                0.28727,                0.84819,                0.92278,                0.85694,                0.91408,                0.79073,                0.63426,                0.57354,                 1.0429,             0.00033243,             0.00033243,             0.00033243
                    155,                0.41057,                0.29185,                0.84422,                0.92463,                0.87195,                0.92167,                0.79731,                0.63475,                0.54141,                 1.0377,             0.00033023,             0.00033023,             0.00033023
